|time|mat_size|power|num_th|blk_size
588|14.9|1024|10|4|32.0
589|14.82|1024|10|4|64.0
590|25.7|1024|10|8|4.0
591|16.68|1024|10|8|8.0
592|11.75|1024|10|8|16.0
593|10.21|1024|10|8|32.0
594|9.6|1024|10|8|64.0
595|5.62|1024|10|16|4.0
596|10.76|1024|10|16|8.0
597|5.84|1024|10|16|16.0
598|5.28|1024|10|16|32.0
599|5.08|1024|10|16|64.0
600|57.15|1024|11|1|4.0
601|51.26|1024|11|1|8.0
602|56.03|1024|11|1|16.0
603|54.27|1024|11|1|32.0
604|53.24|1024|11|1|64.0
605|31.01|1024|11|2|4.0
606|28.53|1024|11|2|8.0
607|30.57|1024|11|2|16.0
608|30.36|1024|11|2|32.0
609|29.55|1024|11|2|64.0
610|16.7|1024|11|4|4.0
611|14.72|1024|11|4|8.0
612|15.78|1024|11|4|16.0
613|15.4|1024|11|4|32.0
614|14.74|1024|11|4|64.0
615|24.51|1024|11|8|4.0
616|19.87|1024|11|8|8.0
617|10.92|1024|11|8|16.0
618|10.04|1024|11|8|32.0
619|9.83|1024|11|8|64.0
620|19.32|1024|11|16|4.0
621|11.9|1024|11|16|8.0
622|6.74|1024|11|16|16.0
623|5.34|1024|11|16|32.0
624|4.81|1024|11|16|64.0
625|62.46|1024|12|1|4.0
626|55.67|1024|12|1|8.0
627|60.97|1024|12|1|16.0
628|59.08|1024|12|1|32.0
629|57.69|1024|12|1|64.0
630|30.86|1024|12|2|4.0
631|28.34|1024|12|2|8.0
632|31.17|1024|12|2|16.0
633|29.82|1024|12|2|32.0
634|29.29|1024|12|2|64.0
635|17.26|1024|12|4|4.0
636|14.28|1024|12|4|8.0
637|15.32|1024|12|4|16.0
638|15.52|1024|12|4|32.0
639|14.65|1024|12|4|64.0
640|30.14|1024|12|8|4.0
641|19.86|1024|12|8|8.0
642|10.91|1024|12|8|16.0
643|10.58|1024|12|8|32.0
644|10.02|1024|12|8|64.0
645|8.14|1024|12|16|4.0
646|9.83|1024|12|16|8.0
647|6.75|1024|12|16|16.0
648|5.46|1024|12|16|32.0
649|5.06|1024|12|16|64.0
650|67.7|1024|13|1|4.0
651|60.59|1024|13|1|8.0
652|66.36|1024|13|1|16.0
653|64.24|1024|13|1|32.0
654|62.89|1024|13|1|64.0
655|37.78|1024|13|2|4.0
656|32.49|1024|13|2|8.0
657|36.8|1024|13|2|16.0
658|34.68|1024|13|2|32.0
659|33.86|1024|13|2|64.0
660|20.76|1024|13|4|4.0
661|19.46|1024|13|4|8.0
662|21.24|1024|13|4|16.0
663|20.07|1024|13|4|32.0
664|19.41|1024|13|4|64.0
665|27.33|1024|13|8|4.0
666|17.12|1024|13|8|8.0
667|10.73|1024|13|8|16.0
668|10.79|1024|13|8|32.0
669|9.95|1024|13|8|64.0
670|19.3|1024|13|16|4.0
671|11.46|1024|13|16|8.0
672|5.98|1024|13|16|16.0
673|5.46|1024|13|16|32.0
674|5.17|1024|13|16|64.0
675|72.19|1024|14|1|4.0
676|64.54|1024|14|1|8.0
677|70.91|1024|14|1|16.0
678|69.22|1024|14|1|32.0
679|67.25|1024|14|1|64.0
680|36.4|1024|14|2|4.0
681|34.37|1024|14|2|8.0
682|36.05|1024|14|2|16.0
683|35.07|1024|14|2|32.0
684|34.07|1024|14|2|64.0
685|21.81|1024|14|4|4.0
686|18.32|1024|14|4|8.0
687|20.19|1024|14|4|16.0
688|20.0|1024|14|4|32.0
689|19.5|1024|14|4|64.0
690|15.74|1024|14|8|4.0
691|20.39|1024|14|8|8.0
692|11.03|1024|14|8|16.0
693|10.76|1024|14|8|32.0
694|10.31|1024|14|8|64.0
695|18.62|1024|14|16|4.0
696|11.3|1024|14|16|8.0
697|6.77|1024|14|16|16.0
698|5.41|1024|14|16|32.0
699|5.03|1024|14|16|64.0
700|77.45|1024|15|1|4.0
701|69.23|1024|15|1|8.0
702|75.97|1024|15|1|16.0
703|73.81|1024|15|1|32.0
704|72.21|1024|15|1|64.0
705|42.48|1024|15|2|4.0
706|37.11|1024|15|2|8.0
707|40.81|1024|15|2|16.0
708|39.82|1024|15|2|32.0
709|38.83|1024|15|2|64.0
710|21.81|1024|15|4|4.0
711|20.76|1024|15|4|8.0
712|20.65|1024|15|4|16.0
713|20.16|1024|15|4|32.0
714|19.6|1024|15|4|64.0
715|30.26|1024|15|8|4.0
716|19.51|1024|15|8|8.0
717|11.56|1024|15|8|16.0
718|10.85|1024|15|8|32.0
719|10.02|1024|15|8|64.0
720|12.43|1024|15|16|4.0
721|12.01|1024|15|16|8.0
722|6.94|1024|15|16|16.0
723|5.4|1024|15|16|32.0
724|4.86|1024|15|16|64.0
725|82.66|1024|16|1|4.0
726|73.65|1024|16|1|8.0
727|80.98|1024|16|1|16.0
728|79.17|1024|16|1|32.0
729|76.89|1024|16|1|64.0
730|41.58|1024|16|2|4.0
731|37.24|1024|16|2|8.0
732|41.13|1024|16|2|16.0
733|40.53|1024|16|2|32.0
734|38.84|1024|16|2|64.0
735|21.5|1024|16|4|4.0
736|27.64|1024|16|4|8.0
737|21.16|1024|16|4|16.0
738|20.38|1024|16|4|32.0
739|19.7|1024|16|4|64.0
740|29.9|1024|16|8|4.0
741|22.75|1024|16|8|8.0
742|13.81|1024|16|8|16.0
743|10.9|1024|16|8|32.0
744|10.28|1024|16|8|64.0
745|14.74|1024|16|16|4.0
746|11.07|1024|16|16|8.0
747|6.71|1024|16|16|16.0
748|5.28|1024|16|16|32.0
749|5.18|1024|16|16|64.0
750|0.95|512|2|1|4.0
751|1.02|512|2|1|8.0
752|0.75|512|2|1|16.0
753|0.93|512|2|1|32.0
754|0.87|512|2|1|64.0
755|0.25|512|2|2|4.0
756|0.55|512|2|2|8.0
757|0.32|512|2|2|16.0
758|0.52|512|2|2|32.0
759|0.27|512|2|2|64.0
760|0.27|512|2|4|4.0
761|0.23|512|2|4|8.0
762|0.51|512|2|4|16.0
763|0.26|512|2|4|32.0
764|0.24|512|2|4|64.0
765|0.55|512|2|8|4.0
766|0.25|512|2|8|8.0
767|0.25|512|2|8|16.0
768|0.13|512|2|8|32.0
769|0.45|512|2|8|64.0
770|0.58|512|2|16|4.0
771|0.23|512|2|16|8.0
772|0.43|512|2|16|16.0
773|0.34|512|2|16|32.0
774|0.29|512|2|16|64.0
775|1.73|512|3|1|4.0
776|1.43|512|3|1|8.0
777|1.35|512|3|1|16.0
778|1.58|512|3|1|32.0
779|1.67|512|3|1|64.0
780|1.09|512|3|2|4.0
781|0.83|512|3|2|8.0
782|0.96|512|3|2|16.0
783|0.77|512|3|2|32.0
784|0.76|512|3|2|64.0
785|2.02|512|3|4|4.0
786|0.2|512|3|4|8.0
787|0.31|512|3|4|16.0
788|0.35|512|3|4|32.0
789|0.51|512|3|4|64.0
790|0.46|512|3|8|4.0
791|0.78|512|3|8|8.0
792|0.5|512|3|8|16.0
793|0.48|512|3|8|32.0
794|0.14|512|3|8|64.0
795|0.31|512|3|16|4.0
796|0.45|512|3|16|8.0
797|0.51|512|3|16|16.0
798|0.52|512|3|16|32.0
799|0.5|512|3|16|64.0
800|2.2|512|4|1|4.0
801|2.14|512|4|1|8.0
802|2.08|512|4|1|16.0
803|2.27|512|4|1|32.0
804|2.27|512|4|1|64.0
805|1.16|512|4|2|4.0
806|0.81|512|4|2|8.0
807|1.1|512|4|2|16.0
808|1.07|512|4|2|32.0
809|0.95|512|4|2|64.0
810|0.43|512|4|4|4.0
811|0.88|512|4|4|8.0
812|0.42|512|4|4|16.0
813|0.33|512|4|4|32.0
814|0.35|512|4|4|64.0
815|2.45|512|4|8|4.0
816|0.16|512|4|8|8.0
817|0.53|512|4|8|16.0
818|0.45|512|4|8|32.0
819|0.28|512|4|8|64.0
820|1.88|512|4|16|4.0
821|0.84|512|4|16|8.0
822|0.27|512|4|16|16.0
